llm,config,execution,system,f1_serv,f1_inter,serv_a,serv_b,serv_cons,inter_a,inter_b,inter_cons,serv_precision,serv_recall,inter_precision,inter_recall,yaml_valid,yaml_valid_raw,total_tokens,duration_ms,total_calls,prompt_tokens,completion_tokens,execution_id
Gemini,C0,1,7ep,1.0,0.9524,1.0,,,0.9524,,,1.0,1.0,0.9091,1.0,1,0.0,4944.0,8249.175,1.0,0.0,2375.0,20260903_205005_269258
Gemini,C0,1,AcmeAir,1.0,0.6154,1.0,,,0.6154,,,1.0,1.0,0.8,0.5,1,0.0,4440.0,7030.473,1.0,0.0,2055.0,20260903_205017_193691
Gemini,C0,1,Cargo-Tracker,0.9091,0.0,0.9091,,,0.0,,,1.0,0.8333,0.0,0.0,1,0.0,6072.0,11603.988,1.0,0.0,3479.0,20260903_205027_893437
Gemini,C0,1,DayTrader7,1.0,0.9091,1.0,,,0.9091,,,1.0,1.0,1.0,0.8333,1,0.0,6125.0,11599.45,1.0,0.0,3374.0,20260903_205041_844925
Gemini,C0,1,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,6057.0,12143.264,1.0,0.0,3554.0,20260903_205056_388571
Gemini,C0,1,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,6750.0,14515.17,1.0,0.0,4012.0,20260903_205110_998305
Gemini,C0,1,PetClinic,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,8013.0,19510.431,1.0,0.0,5867.0,20260903_205128_195399
Gemini,C0,1,TNTConcept,0.9231,0.6129,0.9231,,,0.6129,,,1.0,0.8571,0.7037,0.5429,1,0.0,4884.0,8454.079,1.0,0.0,2913.0,20260903_205150_127417
Gemini,C0,2,7ep,1.0,0.9524,1.0,,,0.9524,,,1.0,1.0,0.9091,1.0,1,0.0,5033.0,8203.45,1.0,0.0,2464.0,20260903_205456_340115
Gemini,C0,2,AcmeAir,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,22593.0,62160.483,1.0,0.0,20208.0,20260903_205507_557562
Gemini,C0,2,Cargo-Tracker,0.9091,0.8421,0.9091,,,0.8421,,,1.0,0.8333,1.0,0.7273,1,0.0,5923.0,12532.222,1.0,0.0,3330.0,20260903_205613_794223
Gemini,C0,2,DayTrader7,1.0,0.9091,1.0,,,0.9091,,,1.0,1.0,1.0,0.8333,0,0.0,9516.0,22685.367,1.0,0.0,6765.0,20260903_205630_934210
Gemini,C0,2,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,4854.0,8084.879,1.0,0.0,2351.0,20260903_205658_591372
Gemini,C0,2,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,5989.0,10977.285,1.0,0.0,3251.0,20260903_205715_017100
Gemini,C0,2,PetClinic,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,7060.0,16566.482,1.0,0.0,4914.0,20260903_205729_391362
Gemini,C0,2,TNTConcept,0.9231,0.6154,0.9231,,,0.6154,,,1.0,0.8571,0.6667,0.5714,1,0.0,4241.0,7377.179,1.0,0.0,2270.0,20260903_205751_389420
Gemini,C0,3,7ep,1.0,0.9524,1.0,,,0.9524,,,1.0,1.0,0.9091,1.0,1,0.0,5721.0,11964.052,1.0,0.0,3152.0,20260903_210342_295723
Gemini,C0,3,AcmeAir,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,5312.0,12450.018,1.0,0.0,2927.0,20260903_210358_198319
Gemini,C0,3,Cargo-Tracker,0.9091,0.0,0.9091,,,0.0,,,1.0,0.8333,0.0,0.0,1,0.0,5731.0,10956.118,1.0,0.0,3138.0,20260903_210414_914009
Gemini,C0,3,DayTrader7,1.0,0.9091,1.0,,,0.9091,,,1.0,1.0,1.0,0.8333,1,0.0,6136.0,12363.483,1.0,0.0,3385.0,20260903_210429_561326
Gemini,C0,3,Jokul,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,4388.0,7347.289,1.0,0.0,1885.0,20260903_210451_814548
Gemini,C0,3,JPetStore,1.0,0.9412,1.0,,,0.9412,,,1.0,1.0,1.0,0.8889,1,0.0,12266.0,29438.664,1.0,0.0,9528.0,20260903_210503_052508
Gemini,C0,3,PetClinic,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1,0.0,5832.0,12880.359,1.0,0.0,3686.0,20260903_210535_236880
Gemini,C0,3,TNTConcept,0.9231,0.7536,0.9231,,,0.7536,,,1.0,0.8571,0.7647,0.7429,1,0.0,4949.0,10855.171,1.0,0.0,2978.0,20260903_210552_362964
Gemini,C1,1,7ep,1.0,0.9524,1.0,1.0,1.0,0.9524,0.9524,0.9524,1.0,1.0,0.9091,1.0,1,0.0,52529.0,46376.532,7.0,0.0,14536.0,20260902_234526_208847
Gemini,C1,1,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,42229.0,35740.283,6.0,0.0,9946.0,20260902_234615_366096
Gemini,C1,1,Cargo-Tracker,0.9091,0.8421,0.9091,0.9091,0.9091,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0.0,58488.0,75552.119,6.0,0.0,24625.0,20260902_234653_737449
Gemini,C1,1,DayTrader7,1.0,0.9091,1.0,1.0,1.0,0.9091,0.0,0.9091,1.0,1.0,1.0,0.8333,1,0.0,54657.0,64268.08,6.0,0.0,19282.0,20260902_234812_240012
Gemini,C1,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,39230.0,28060.375,6.0,0.0,7079.0,20260902_234919_404730
Gemini,C1,1,JPetStore,1.0,0.9412,1.0,1.0,1.0,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0.0,54292.0,60372.113,6.0,0.0,19621.0,20260902_234950_578735
Gemini,C1,1,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,50252.0,71377.759,6.0,0.0,19886.0,20260902_235053_841901
Gemini,C1,1,TNTConcept,0.9231,0.7761,0.9231,0.9231,0.9231,0.7647,0.7761,0.7761,1.0,0.8571,0.8125,0.7429,0,0.0,60935.0,82726.915,6.0,0.0,29493.0,20260902_235207_721636
Gemini,C1,2,7ep,1.0,1.0,1.0,1.0,1.0,0.9524,0.75,1.0,1.0,1.0,1.0,1.0,1,0.0,113905.0,184868.103,9.0,0.0,53229.0,20260903_165851_722305
Gemini,C1,2,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,53067.0,66840.826,6.0,0.0,21081.0,20260903_170201_132368
