metric,config,llm,n,mean,median,std,min,max,ci95_low,ci95_high
f1_serv,C0,Gemini,24,0.979,1.0,0.0373,0.9091,1.0,0.9639,0.993
f1_inter,C0,Gemini,24,0.827,0.9412,0.284,0.0,1.0,0.6968,0.9312
f1_serv,C0,DeepSeek,24,0.9526,1.0,0.0732,0.7273,1.0,0.9205,0.9801
f1_inter,C0,DeepSeek,24,0.8422,0.8571,0.1038,0.6087,1.0,0.8027,0.8824
f1_serv,C0,Claude,24,0.9208,1.0,0.1267,0.6154,1.0,0.8653,0.9652
f1_inter,C0,Claude,24,0.8265,0.8571,0.2041,0.3478,1.0,0.7369,0.9002
f1_serv,C1,Gemini,24,0.9709,1.0,0.0645,0.7143,1.0,0.9416,0.993
f1_inter,C1,Gemini,24,0.9187,0.9468,0.1013,0.6667,1.0,0.8772,0.9562
f1_serv,C1,DeepSeek,24,0.9656,1.0,0.0545,0.8333,1.0,0.9425,0.9866
f1_inter,C1,DeepSeek,24,0.8556,0.8894,0.1436,0.3158,1.0,0.79,0.9078
f1_serv,C1,Claude,24,0.9336,1.0,0.0989,0.6154,1.0,0.8896,0.9684
f1_inter,C1,Claude,24,0.8559,0.875,0.1685,0.381,1.0,0.7866,0.9187
f1_serv,C2,Gemini,24,0.9758,1.0,0.0387,0.9091,1.0,0.9598,0.9904
f1_inter,C2,Gemini,24,0.9318,0.9524,0.0774,0.7761,1.0,0.8981,0.9633
f1_serv,C2,DeepSeek,24,0.9602,1.0,0.073,0.7273,1.0,0.9277,0.9849
f1_inter,C2,DeepSeek,24,0.8469,0.8571,0.0987,0.6,0.9565,0.8077,0.8852
f1_serv,C2,Claude,24,0.9391,1.0,0.1134,0.6154,1.0,0.8878,0.9776
f1_inter,C2,Claude,24,0.8257,0.8634,0.1949,0.3478,1.0,0.7379,0.8968
f1_serv,C3,Gemini,24,0.9732,1.0,0.0553,0.7692,1.0,0.9481,0.993
f1_inter,C3,Gemini,24,0.8182,0.9252,0.2457,0.0,1.0,0.7144,0.9055
f1_serv,C3,DeepSeek,24,0.9608,1.0,0.061,0.8333,1.0,0.9339,0.9839
f1_inter,C3,DeepSeek,24,0.7725,0.8571,0.2571,0.0,1.0,0.664,0.8605
f1_serv,C3,Claude,24,0.9234,1.0,0.1257,0.6154,1.0,0.8658,0.9683
f1_inter,C3,Claude,24,0.8274,0.875,0.216,0.3636,1.0,0.7318,0.9083
f1_serv,C4,Gemini,24,0.979,1.0,0.0373,0.9091,1.0,0.9639,0.993
f1_inter,C4,Gemini,24,0.8905,0.9412,0.2072,0.0,1.0,0.7935,0.9547
f1_serv,C4,DeepSeek,24,0.9496,0.9231,0.0496,0.8571,1.0,0.9285,0.97
f1_inter,C4,DeepSeek,24,0.8283,0.8421,0.1533,0.5714,1.0,0.764,0.8896
f1_serv,C4,Claude,20,0.9181,0.9616,0.1208,0.6154,1.0,0.8615,0.9637
f1_inter,C4,Claude,20,0.8181,0.8723,0.2129,0.3636,1.0,0.7175,0.9029
