llm,system,config,f1_serv,f1_inter
Gemini,7ep,C0,1.0,0.9524
Gemini,7ep,C1,1.0,0.9841
Gemini,7ep,C2,1.0,0.9683
Gemini,7ep,C3,1.0,0.9683
Gemini,7ep,C4,1.0,1.0
Gemini,AcmeAir,C0,1.0,0.8718
Gemini,AcmeAir,C1,1.0,1.0
Gemini,AcmeAir,C2,1.0,1.0
Gemini,AcmeAir,C3,1.0,0.8571
Gemini,AcmeAir,C4,1.0,0.9412
Gemini,Cargo-Tracker,C0,0.9091,0.2807
Gemini,Cargo-Tracker,C1,0.8442,0.8038
Gemini,Cargo-Tracker,C2,0.9091,0.8421
Gemini,Cargo-Tracker,C3,0.8625,0.4674
Gemini,Cargo-Tracker,C4,0.9091,0.5614
Gemini,DayTrader7,C0,1.0,0.9091
Gemini,DayTrader7,C1,1.0,0.8283
Gemini,DayTrader7,C2,0.9744,0.9152
Gemini,DayTrader7,C3,1.0,0.9091
Gemini,DayTrader7,C4,1.0,0.9116
Gemini,Jokul,C0,1.0,1.0
Gemini,Jokul,C1,1.0,1.0
Gemini,Jokul,C2,1.0,1.0
Gemini,Jokul,C3,1.0,1.0
Gemini,Jokul,C4,1.0,1.0
Gemini,JPetStore,C0,1.0,0.9412
Gemini,JPetStore,C1,1.0,0.9412
Gemini,JPetStore,C2,1.0,0.9412
Gemini,JPetStore,C3,1.0,0.7703
Gemini,JPetStore,C4,1.0,0.9412
Gemini,PetClinic,C0,1.0,1.0
Gemini,PetClinic,C1,1.0,1.0
Gemini,PetClinic,C2,1.0,1.0
Gemini,PetClinic,C3,1.0,0.8889
Gemini,PetClinic,C4,1.0,1.0
Gemini,TNTConcept,C0,0.9231,0.6606
Gemini,TNTConcept,C1,0.9231,0.792
Gemini,TNTConcept,C2,0.9231,0.788
Gemini,TNTConcept,C3,0.9231,0.6844
Gemini,TNTConcept,C4,0.9231,0.7685
DeepSeek,7ep,C0,1.0,0.9104
DeepSeek,7ep,C1,0.9778,0.8538
DeepSeek,7ep,C2,1.0,0.9062
DeepSeek,7ep,C3,1.0,0.8889
DeepSeek,7ep,C4,1.0,0.9333
DeepSeek,AcmeAir,C0,1.0,0.8323
DeepSeek,AcmeAir,C1,1.0,0.9412
DeepSeek,AcmeAir,C2,1.0,0.9063
DeepSeek,AcmeAir,C3,1.0,0.9063
DeepSeek,AcmeAir,C4,1.0,1.0
DeepSeek,Cargo-Tracker,C0,0.8838,0.7758
DeepSeek,Cargo-Tracker,C1,0.9744,0.8827
DeepSeek,Cargo-Tracker,C2,1.0,0.9407
DeepSeek,Cargo-Tracker,C3,0.9141,0.8174
DeepSeek,Cargo-Tracker,C4,0.9091,0.8421
DeepSeek,DayTrader7,C0,0.8138,0.6993
DeepSeek,DayTrader7,C1,0.8492,0.6017
DeepSeek,DayTrader7,C2,0.8059,0.6691
DeepSeek,DayTrader7,C3,0.8492,0.7128
DeepSeek,DayTrader7,C4,0.9231,0.7521
DeepSeek,Jokul,C0,1.0,0.9524
DeepSeek,Jokul,C1,1.0,1.0
DeepSeek,Jokul,C2,0.9524,0.8571
DeepSeek,Jokul,C3,1.0,0.9524
DeepSeek,Jokul,C4,0.9524,0.746
DeepSeek,JPetStore,C0,1.0,0.9412
DeepSeek,JPetStore,C1,1.0,0.9412
DeepSeek,JPetStore,C2,1.0,0.9412
DeepSeek,JPetStore,C3,1.0,0.3137
DeepSeek,JPetStore,C4,1.0,1.0
DeepSeek,PetClinic,C0,1.0,0.8571
DeepSeek,PetClinic,C1,1.0,0.8571
DeepSeek,PetClinic,C2,1.0,0.7857
DeepSeek,PetClinic,C3,1.0,0.8214
DeepSeek,PetClinic,C4,0.8889,0.6
DeepSeek,TNTConcept,C0,0.9231,0.7692
DeepSeek,TNTConcept,C1,0.9231,0.7669
DeepSeek,TNTConcept,C2,0.9231,0.7692
DeepSeek,TNTConcept,C3,0.9231,0.7669
DeepSeek,TNTConcept,C4,0.9231,0.7524
Claude,7ep,C0,1.0,1.0
Claude,7ep,C1,1.0,1.0
Claude,7ep,C2,1.0,1.0
Claude,7ep,C3,1.0,1.0
Claude,7ep,C4,1.0,1.0
Claude,AcmeAir,C0,1.0,1.0
Claude,AcmeAir,C1,1.0,1.0
Claude,AcmeAir,C2,1.0,1.0
Claude,AcmeAir,C3,1.0,1.0
Claude,AcmeAir,C4,1.0,1.0
Claude,Cargo-Tracker,C0,0.6154,0.3478
Claude,Cargo-Tracker,C1,0.7179,0.5328
Claude,Cargo-Tracker,C2,0.6667,0.4348
Claude,Cargo-Tracker,C3,0.6154,0.3636
Claude,Cargo-Tracker,C4,0.6667,0.4149
Claude,DayTrader7,C0,0.9231,0.8404
Claude,DayTrader7,C1,0.9231,0.8575
Claude,DayTrader7,C2,0.9231,0.8353
Claude,DayTrader7,C3,0.9231,0.8454
Claude,DayTrader7,C4,0.9231,0.7899
Claude,Jokul,C0,0.9047,0.8333
Claude,Jokul,C1,0.9047,0.7778
Claude,Jokul,C2,1.0,0.6667
Claude,Jokul,C3,1.0,1.0
Claude,Jokul,C4,0.9285,0.875
Claude,JPetStore,C0,1.0,0.9412
Claude,JPetStore,C1,1.0,0.8971
Claude,JPetStore,C2,1.0,0.9412
Claude,JPetStore,C3,1.0,0.8971
Claude,JPetStore,C4,1.0,0.9081
Claude,PetClinic,C0,1.0,0.8571
Claude,PetClinic,C1,1.0,1.0
Claude,PetClinic,C2,1.0,0.9524
Claude,PetClinic,C3,0.9259,0.7333
Claude,PetClinic,C4,0.9445,0.8
Claude,TNTConcept,C0,0.9231,0.7919
Claude,TNTConcept,C1,0.9231,0.7817
Claude,TNTConcept,C2,0.9231,0.7754
Claude,TNTConcept,C3,0.9231,0.7795
Claude,TNTConcept,C4,0.9231,0.7907
