cell,serv_precision,serv_recall,inter_precision,inter_recall
Gemini|C0,1.0,0.9613,0.8609,0.8021
DeepSeek|C0,0.9639,0.9474,0.82,0.8771
Claude|C0,0.9077,0.9405,0.8182,0.8501
Gemini|C1,0.9844,0.9613,0.9567,0.8886
DeepSeek|C1,0.9611,0.9752,0.8321,0.891
Claude|C1,0.9196,0.9544,0.8637,0.8659
Gemini|C2,0.994,0.9613,0.9659,0.906
DeepSeek|C2,0.9639,0.9613,0.8132,0.9033
Claude|C2,0.9345,0.9474,0.8423,0.814
Gemini|C3,0.9881,0.9613,0.8544,0.7928
DeepSeek|C3,0.9653,0.9613,0.7451,0.8153
Claude|C3,0.9119,0.9405,0.8357,0.8419
Gemini|C4,1.0,0.9613,0.9201,0.867
DeepSeek|C4,0.9467,0.9613,0.8318,0.8606
Claude|C4,0.8989,0.944,0.8298,0.8278
