cell,config,llm,agents,mean_serv,mean_inter,combined,mean_tokens,mean_duration_ms,mean_calls,yaml_ok,n_metrics,cost_index,quality_per_ktoken,quality_index,pareto
DeepSeek|C0,C0,DeepSeek,1,0.9526,0.8422,0.8974,2734.9583,4159.9121,1.0,24,24,1.0,0.3281,0.9409,True
Claude|C0,C0,Claude,1,0.9208,0.8265,0.8737,3068.125,9893.8571,1.0,17,24,1.1218,0.2848,0.916,False
DeepSeek|C3,C3,DeepSeek,"1, 4, 5",0.9608,0.7725,0.8666,5350.0,6698.76,2.0,24,24,1.9562,0.162,0.9086,False
Claude|C3,C3,Claude,"1, 4, 5",0.9234,0.8274,0.8754,5944.2083,20137.8467,2.0,18,24,2.1734,0.1473,0.9178,False
Gemini|C0,C0,Gemini,1,0.979,0.827,0.903,6784.5417,14581.1888,1.0,23,24,2.4807,0.1331,0.9467,True
Gemini|C3,C3,Gemini,"1, 4, 5",0.9732,0.8182,0.8957,15121.4167,40541.1343,2.0417,23,24,5.5289,0.0592,0.9391,False
DeepSeek|C4,C4,DeepSeek,"1, 2.1, 3, 4, 5",0.9496,0.8283,0.889,19915.4583,17031.808,8.0,6,24,7.2818,0.0446,0.932,False
Claude|C4,C4,Claude,"1, 2.1, 3, 4, 5",0.9181,0.8181,0.8681,25162.9,57619.5923,6.95,19,20,9.2005,0.0345,0.9101,False
DeepSeek|C2,C2,DeepSeek,"1, 2, 3, 5",0.9602,0.8469,0.9036,28057.75,17646.9869,6.0833,24,24,10.2589,0.0322,0.9473,True
DeepSeek|C1,C1,DeepSeek,"1, 2, 3, 4, 5",0.9656,0.8556,0.9106,32332.5,20760.8297,7.875,24,24,11.8219,0.0282,0.9547,True
Claude|C2,C2,Claude,"1, 2, 3, 5",0.9391,0.8257,0.8824,37906.1739,51240.7161,5.0,17,24,13.8599,0.0233,0.9251,False
Gemini|C4,C4,Gemini,"1, 2.1, 3, 4, 5",0.979,0.8905,0.9347,44014.8333,98810.773,6.1667,22,24,16.0934,0.0212,0.98,True
Claude|C1,C1,Claude,"1, 2, 3, 4, 5",0.9336,0.8559,0.8947,42747.0,62110.5987,6.875,18,24,15.6299,0.0209,0.9381,False
Gemini|C2,C2,Gemini,"1, 2, 3, 5",0.9758,0.9318,0.9538,46343.2917,51543.3886,4.125,23,24,16.9448,0.0206,1.0,True
Gemini|C1,C1,Gemini,"1, 2, 3, 4, 5",0.9709,0.9187,0.9448,55581.9167,69899.5705,6.1667,22,24,20.3228,0.017,0.9906,False
