llm,config,test,system,serv_a,serv_b,serv_cons,serv_final,inter_a,inter_b,inter_cons,inter_final,serv_precision,serv_recall,inter_precision,inter_recall,yaml_valid,yaml_valid_raw,total_tokens,duration_ms,total_calls,prompt_tokens,completion_tokens,execution_id
Gemini,C0,1,7ep,1.0,,,1.0,0.9524,,,0.9524,1.0,1.0,0.9091,1.0,1,0,4944,8249.175,1,0,2375,20260903_205005_269258
Gemini,C0,1,AcmeAir,1.0,,,1.0,0.6154,,,0.6154,1.0,1.0,0.8,0.5,1,0,4440,7030.473,1,0,2055,20260903_205017_193691
Gemini,C0,1,Cargo-Tracker,0.9091,,,0.9091,0.0,,,0.0,1.0,0.8333,0.0,0.0,1,0,6072,11603.988,1,0,3479,20260903_205027_893437
Gemini,C0,1,DayTrader7,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,1.0,0.8333,1,0,6125,11599.45,1,0,3374,20260903_205041_844925
Gemini,C0,1,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,6057,12143.264,1,0,3554,20260903_205056_388571
Gemini,C0,1,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,6750,14515.17,1,0,4012,20260903_205110_998305
Gemini,C0,1,PetClinic,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,8013,19510.431,1,0,5867,20260903_205128_195399
Gemini,C0,1,TNTConcept,0.9231,,,0.9231,0.6129,,,0.6129,1.0,0.8571,0.7037,0.5429,1,0,4884,8454.079,1,0,2913,20260903_205150_127417
Gemini,C0,2,7ep,1.0,,,1.0,0.9524,,,0.9524,1.0,1.0,0.9091,1.0,1,0,5033,8203.45,1,0,2464,20260903_205456_340115
Gemini,C0,2,AcmeAir,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,22593,62160.483,1,0,20208,20260903_205507_557562
Gemini,C0,2,Cargo-Tracker,0.9091,,,0.9091,0.8421,,,0.8421,1.0,0.8333,1.0,0.7273,1,0,5923,12532.222,1,0,3330,20260903_205613_794223
Gemini,C0,2,DayTrader7,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,1.0,0.8333,0,0,9516,22685.367,1,0,6765,20260903_205630_934210
Gemini,C0,2,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,4854,8084.879,1,0,2351,20260903_205658_591372
Gemini,C0,2,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,5989,10977.285,1,0,3251,20260903_205715_017100
Gemini,C0,2,PetClinic,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,7060,16566.482,1,0,4914,20260903_205729_391362
Gemini,C0,2,TNTConcept,0.9231,,,0.9231,0.6154,,,0.6154,1.0,0.8571,0.6667,0.5714,1,0,4241,7377.179,1,0,2270,20260903_205751_389420
Gemini,C0,3,7ep,1.0,,,1.0,0.9524,,,0.9524,1.0,1.0,0.9091,1.0,1,0,5721,11964.052,1,0,3152,20260903_210342_295723
Gemini,C0,3,AcmeAir,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,5312,12450.018,1,0,2927,20260903_210358_198319
Gemini,C0,3,Cargo-Tracker,0.9091,,,0.9091,0.0,,,0.0,1.0,0.8333,0.0,0.0,1,0,5731,10956.118,1,0,3138,20260903_210414_914009
Gemini,C0,3,DayTrader7,1.0,,,1.0,0.9091,,,0.9091,1.0,1.0,1.0,0.8333,1,0,6136,12363.483,1,0,3385,20260903_210429_561326
Gemini,C0,3,Jokul,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,4388,7347.289,1,0,1885,20260903_210451_814548
Gemini,C0,3,JPetStore,1.0,,,1.0,0.9412,,,0.9412,1.0,1.0,1.0,0.8889,1,0,12266,29438.664,1,0,9528,20260903_210503_052508
Gemini,C0,3,PetClinic,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1,0,5832,12880.359,1,0,3686,20260903_210535_236880
Gemini,C0,3,TNTConcept,0.9231,,,0.9231,0.7536,,,0.7536,1.0,0.8571,0.7647,0.7429,1,0,4949,10855.171,1,0,2978,20260903_210552_362964
Gemini,C1,1,7ep,1.0,1.0,1.0,1.0,0.9524,0.9524,0.9524,0.9524,1.0,1.0,0.9091,1.0,1,0,52529,46376.532,7,0,14536,20260902_234526_208847
Gemini,C1,1,AcmeAir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,42229,35740.283,6,0,9946,20260902_234615_366096
Gemini,C1,1,Cargo-Tracker,0.9091,0.9091,0.9091,0.9091,0.8421,0.8421,0.8421,0.8421,1.0,0.8333,1.0,0.7273,1,0,58488,75552.119,6,0,24625,20260902_234653_737449
Gemini,C1,1,DayTrader7,1.0,1.0,1.0,1.0,0.9091,0.0,0.9091,0.9091,1.0,1.0,1.0,0.8333,1,0,54657,64268.08,6,0,19282,20260902_234812_240012
Gemini,C1,1,Jokul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,39230,28060.375,6,0,7079,20260902_234919_404730
Gemini,C1,1,JPetStore,1.0,1.0,1.0,1.0,0.9412,0.9412,0.9412,0.9412,1.0,1.0,1.0,0.8889,1,0,54292,60372.113,6,0,19621,20260902_234950_578735
Gemini,C1,1,PetClinic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,50252,71377.759,6,0,19886,20260902_235053_841901
