x,y,scope,n,rho,p_value
total_tokens,f1_serv,Global,355,0.0032,0.9514
total_tokens,f1_serv,C0,72,0.0336,0.7794
total_tokens,f1_serv,C1,72,-0.1418,0.2346
total_tokens,f1_serv,C2,71,-0.178,0.1375
total_tokens,f1_serv,C3,72,-0.0645,0.5903
total_tokens,f1_serv,C4,68,0.1491,0.225
total_tokens,f1_inter,Global,355,0.0863,0.1046
total_tokens,f1_inter,C0,72,0.1818,0.1263
total_tokens,f1_inter,C1,72,0.0242,0.8403
total_tokens,f1_inter,C2,71,0.0844,0.4839
total_tokens,f1_inter,C3,72,-0.0787,0.5112
total_tokens,f1_inter,C4,68,0.0874,0.4785
total_tokens,yaml_valid,Global,359,-0.0108,0.8382
total_tokens,yaml_valid,C0,72,0.0234,0.8454
total_tokens,yaml_valid,C1,72,-0.219,0.0645
total_tokens,yaml_valid,C2,71,-0.2239,0.0605
total_tokens,yaml_valid,C3,72,0.1207,0.3126
total_tokens,yaml_valid,C4,72,0.4303,0.0002
