metric,comparison,config_a,config_b,llm,n_pairs,n_nonzero,statistic,p_value,cliffs_delta,effect
f1_serv,C0 vs C1,C0,C1,Gemini,8,1,0.0,1.0,0.0156,negligible
f1_inter,C0 vs C1,C0,C1,Gemini,8,5,2.0,0.1875,-0.1719,small
f1_serv,C0 vs C2,C0,C2,Gemini,8,1,0.0,1.0,0.0938,negligible
f1_inter,C0 vs C2,C0,C2,Gemini,8,5,0.0,0.0625,-0.2344,small
f1_serv,C0 vs C3,C0,C3,Gemini,8,1,0.0,1.0,0.0156,negligible
f1_inter,C0 vs C3,C0,C3,Gemini,8,6,10.0,1.0,0.1719,small
f1_serv,C0 vs C4,C0,C4,Gemini,8,0,,,0.0,negligible
f1_inter,C0 vs C4,C0,C4,Gemini,8,5,0.0,0.0625,-0.1406,negligible
f1_serv,C1 vs C2,C1,C2,Gemini,8,2,1.0,1.0,0.0781,negligible
f1_inter,C1 vs C2,C1,C2,Gemini,8,4,3.0,0.625,-0.0312,negligible
f1_serv,C1 vs C3,C1,C3,Gemini,8,1,0.0,1.0,-0.0156,negligible
f1_inter,C1 vs C3,C1,C3,Gemini,8,7,2.0,0.0469,0.3906,medium
f1_serv,C1 vs C4,C1,C4,Gemini,8,1,0.0,1.0,-0.0156,negligible
f1_inter,C1 vs C4,C1,C4,Gemini,8,5,5.0,0.625,0.0938,negligible
f1_serv,C2 vs C3,C2,C3,Gemini,8,2,1.0,1.0,-0.0781,negligible
f1_inter,C2 vs C3,C2,C3,Gemini,8,6,0.0,0.0312,0.4688,medium
f1_serv,C2 vs C4,C2,C4,Gemini,8,1,0.0,1.0,-0.0938,negligible
f1_inter,C2 vs C4,C2,C4,Gemini,8,5,3.0,0.3125,0.125,negligible
f1_serv,C3 vs C4,C3,C4,Gemini,8,1,0.0,1.0,-0.0156,negligible
f1_inter,C3 vs C4,C3,C4,Gemini,8,7,0.0,0.0156,-0.3594,medium
f1_serv,C0 vs C1,C0,C1,DeepSeek,8,3,1.0,0.5,0.0156,negligible
