system,config,llm,execution,f1_serv,f1_inter,yaml_valid,total_tokens,duration_ms
7ep,C0,DeepSeek,1,1.0,0.9524,1,2848,4829.469
AcmeAir,C0,DeepSeek,1,1.0,0.6667,1,2703,4254.961
Cargo-Tracker,C0,DeepSeek,1,0.9091,0.8,1,2896,5313.213
DayTrader7,C0,DeepSeek,1,0.7273,0.6087,1,3187,5333.161
JPetStore,C0,DeepSeek,1,1.0,0.9412,1,3096,5363.412
Jokul,C0,DeepSeek,1,1.0,0.8571,1,2661,4080.303
PetClinic,C0,DeepSeek,1,1.0,0.8571,1,2288,3081.856
TNTConcept,C0,DeepSeek,1,0.9231,0.7714,1,2332,4382.786
7ep,C0,DeepSeek,2,1.0,0.8696,1,2819,4341.237
AcmeAir,C0,DeepSeek,2,1.0,0.9412,1,2702,4411.555
Cargo-Tracker,C0,DeepSeek,2,0.9091,0.8,1,2884,4308.853
DayTrader7,C0,DeepSeek,2,0.8571,0.72,1,3094,4410.987
JPetStore,C0,DeepSeek,2,1.0,0.9412,1,3082,4709.564
Jokul,C0,DeepSeek,2,1.0,1.0,1,2606,2549.166
PetClinic,C0,DeepSeek,2,1.0,0.8571,1,2288,2664.386
TNTConcept,C0,DeepSeek,2,0.9231,0.7647,1,2328,3427.277
7ep,C0,DeepSeek,3,1.0,0.9091,1,2840,4020.708
AcmeAir,C0,DeepSeek,3,1.0,0.8889,1,2693,4027.227
Cargo-Tracker,C0,DeepSeek,3,0.8333,0.7273,1,2889,4200.154
DayTrader7,C0,DeepSeek,3,0.8571,0.7692,1,3093,5292.042
JPetStore,C0,DeepSeek,3,1.0,0.9412,1,3098,4752.465
Jokul,C0,DeepSeek,3,1.0,1.0,1,2595,3369.163
PetClinic,C0,DeepSeek,3,1.0,0.8571,1,2281,2676.594
TNTConcept,C0,DeepSeek,3,0.9231,0.7714,1,2336,4037.351
7ep,C1,DeepSeek,1,1.0,0.9091,1,33388,20769.978
AcmeAir,C1,DeepSeek,1,1.0,0.9412,1,32536,21040.058
Cargo-Tracker,C1,DeepSeek,1,0.9231,0.7826,1,30093,20851.402
DayTrader7,C1,DeepSeek,1,0.8571,0.72,1,35824,23340.881
JPetStore,C1,DeepSeek,1,1.0,0.9412,1,34903,22569.941
Jokul,C1,DeepSeek,1,1.0,1.0,1,30834,15235.643
PetClinic,C1,DeepSeek,1,1.0,0.8571,1,29316,17317.425
TNTConcept,C1,DeepSeek,1,0.9231,0.7647,1,27640,20333.701
7ep,C1,DeepSeek,2,0.9333,0.7826,1,34447,23257.972
AcmeAir,C1,DeepSeek,2,1.0,0.9412,1,28518,17908.852
Cargo-Tracker,C1,DeepSeek,2,1.0,0.9091,1,33562,19772.725
DayTrader7,C1,DeepSeek,2,0.8571,0.7692,1,35916,21991.034
JPetStore,C1,DeepSeek,2,1.0,0.9412,1,35083,22506.616
Jokul,C1,DeepSeek,2,1.0,1.0,1,30915,16674.804
PetClinic,C1,DeepSeek,2,1.0,0.8571,1,29470,16889.792
TNTConcept,C1,DeepSeek,2,0.9231,0.7714,1,30654,20618.749
7ep,C1,DeepSeek,3,1.0,0.8696,1,33437,23492.293
