metric,config,llm,n,mean,median,std,ci95_low,ci95_high
f1_serv,C0,Gemini,24,0.979,1.0,0.0373,0.9639,0.993
f1_inter,C0,Gemini,24,0.827,0.9412,0.284,0.6962,0.9294
f1_serv,C0,DeepSeek,24,0.9526,1.0,0.0732,0.9205,0.9801
f1_inter,C0,DeepSeek,24,0.8422,0.8571,0.1038,0.8015,0.8829
f1_serv,C1,Gemini,24,0.9709,1.0,0.0645,0.9416,0.993
f1_inter,C1,Gemini,24,0.9187,0.9468,0.1013,0.8768,0.9576
f1_serv,C1,DeepSeek,24,0.9656,1.0,0.0545,0.9425,0.9866
f1_inter,C1,DeepSeek,24,0.8556,0.8894,0.1436,0.7946,0.9068
f1_serv,C2,Gemini,24,0.9758,1.0,0.0387,0.9598,0.9904
f1_inter,C2,Gemini,24,0.9318,0.9524,0.0774,0.8992,0.9613
f1_serv,C2,DeepSeek,24,0.9602,1.0,0.073,0.9293,0.9876
f1_inter,C2,DeepSeek,24,0.8469,0.8571,0.0987,0.8088,0.8874
f1_serv,C3,Gemini,24,0.9732,1.0,0.0553,0.9481,0.993
f1_inter,C3,Gemini,24,0.8182,0.9252,0.2457,0.7079,0.9069
f1_serv,C3,DeepSeek,24,0.9608,1.0,0.061,0.9339,0.9839
f1_inter,C3,DeepSeek,24,0.7725,0.8571,0.2571,0.659,0.8583
